지역,umdNm,aptNm,buildYear,addr,excluUseAr,floor,dealYear,dealMonth,dealDay,dealAmount_만원,dealAmount_억
서울 종로구,무악동,현대,2000,통일로,60.0,6,2026,1,26,112900,11.29
서울 종로구,무악동,현대,2000,통일로,60.0,9,2026,2,7,116990,11.7
서울 종로구,무악동,현대,2000,통일로,60.0,14,2026,6,27,117980,11.8
서울 종로구,숭인동,종로센트레빌,2008,동망산길,59.92,6,2026,7,27,110000,11.0
서울 중구,신당동,남산타운,2002,다산로,59.94,1,2026,1,29,138500,13.85
서울 중구,신당동,남산타운,2002,다산로,59.94,12,2026,1,11,149500,14.95
서울 중구,신당동,신당푸르지오,2005,다산로36길,59.85,8,2026,1,30,140000,14.0
서울 중구,신당동,남산타운,2002,다산로,59.94,2,2026,1,28,150000,15.0
서울 중구,신당동,삼성,1999,청구로1길,59.97,2,2026,1,27,140000,14.0
서울 중구,신당동,남산타운,2002,다산로,59.94,12,2026,1,2,149000,14.9
서울 중구,신당동,삼성,1999,청구로1길,59.97,11,2026,1,23,144000,14.4
서울 중구,중림동,삼성사이버빌리지,2001,중림로,59.7,15,2026,1,11,150000,15.0
서울 중구,신당동,한진해모로,2001,왕십리로39길,59.76,10,2026,1,6,110000,11.0
서울 중구,신당동,남산타운,2002,다산로,59.94,9,2026,1,15,149500,14.95
서울 중구,신당동,삼성,1999,청구로1길,59.97,9,2026,1,15,134500,13.45
서울 중구,신당동,래미안하이베르,2011,퇴계로90길,59.95,13,2026,1,13,149500,14.95
서울 중구,중림동,삼성사이버빌리지,2001,중림로,59.7,17,2026,2,21,150000,15.0
서울 중구,신당동,남산타운,2002,다산로,59.94,18,2026,2,14,149500,14.95
서울 중구,신당동,남산타운,2002,다산로,59.94,17,2026,2,12,149000,14.9
서울 중구,신당동,남산타운,2002,다산로,59.94,5,2026,2,12,148000,14.8
서울 중구,신당동,삼성,1999,청구로1길,59.98,5,2026,2,11,143000,14.3
서울 중구,입정동,힐스테이트세운센트럴2단지,2023,을지로15길,59.9851,11,2026,3,28,138500,13.85
서울 중구,신당동,남산타운,2002,다산로,59.94,13,2026,3,28,148000,14.8
서울 중구,신당동,삼성,1999,청구로1길,59.98,5,2026,3,25,147000,14.7
서울 중구,중림동,삼성사이버빌리지,2001,중림로,59.7,18,2026,3,25,149990,15.0
서울 중구,신당동,삼성,1999,청구로1길,59.98,21,2026,3,22,147000,14.7
서울 중구,신당동,래미안하이베르,2011,퇴계로90길,59.74,8,2026,3,23,142000,14.2
서울 중구,중림동,삼성사이버빌리지,2001,중림로,59.7,2,2026,3,8,149300,14.93
서울 중구,신당동,남산타운,2002,다산로,59.94,5,2026,3,10,150000,15.0
서울 중구,신당동,남산타운,2002,다산로,59.94,10,2026,4,22,149700,14.97
서울 중구,신당동,남산타운,2002,다산로,59.94,7,2026,4,22,145000,14.5
서울 중구,신당동,삼성,1999,청구로1길,59.98,9,2026,4,30,149000,14.9
서울 중구,신당동,신당푸르지오,2005,다산로36길,59.85,3,2026,4,25,145000,14.5
서울 중구,만리동2가,서울역센트럴자이,2017,만리재로,59.943,17,2026,4,10,145000,14.5
서울 중구,신당동,남산타운,2002,다산로,59.94,14,2026,4,7,146000,14.6
서울 중구,신당동,남산타운,2002,다산로,59.94,15,2026,4,11,146000,14.6
서울 중구,신당동,삼성,1999,청구로1길,59.98,13,2026,4,3,148500,14.85
서울 중구,입정동,힐스테이트세운센트럴1단지,2023,을지로15길,59.7076,22,2026,5,30,146500,14.65
서울 중구,신당동,삼성,1999,청구로1길,59.98,8,2026,5,27,150000,15.0
서울 중구,신당동,한진해모로,2001,왕십리로39길,59.76,9,2026,5,23,120000,12.0
서울 중구,신당동,삼성,1999,청구로1길,59.98,14,2026,5,20,149500,14.95
서울 중구,신당동,한진해모로,2001,왕십리로39길,59.76,3,2026,5,9,122000,12.2
서울 중구,신당동,한진해모로,2001,왕십리로39길,59.76,7,2026,5,16,117500,11.75
서울 중구,신당동,남산타운,2002,다산로,59.94,2,2026,5,16,150000,15.0
서울 중구,신당동,남산타운,2002,다산로,59.94,2,2026,5,12,147000,14.7
서울 중구,신당동,남산타운,2002,다산로,59.94,11,2026,5,15,150000,15.0
서울 중구,신당동,한진해모로,2001,왕십리로39길,59.76,1,2026,5,8,116500,11.65
서울 중구,신당동,남산타운,2002,다산로,59.94,8,2026,5,7,150000,15.0
서울 중구,신당동,남산타운,2002,다산로,59.94,5,2026,5,7,148500,14.85
서울 중구,신당동,삼성,1999,청구로1길,59.97,12,2026,6,29,149900,14.99
서울 중구,신당동,삼성,1999,청구로1길,59.98,11,2026,6,27,150000,15.0
서울 중구,신당동,남산타운,2002,다산로,59.94,1,2026,6,25,145500,14.55
서울 중구,입정동,힐스테이트세운센트럴1단지,2023,을지로15길,59.6641,19,2026,6,5,148000,14.8
서울 중구,신당동,남산타운,2002,다산로,59.94,2,2026,6,5,145000,14.5
서울 중구,신당동,남산타운,2002,다산로,59.94,11,2026,6,2,150000,15.0
서울 중구,신당동,남산타운,2002,다산로,59.94,1,2026,7,9,150000,15.0
서울 용산구,산천동,한강타운,2001,새창로8길,59.69,4,2026,1,30,118000,11.8
서울 용산구,산천동,한강타운,2001,새창로8길,59.69,1,2026,1,13,114500,11.45
서울 용산구,산천동,한강타운,2001,새창로8길,59.69,8,2026,1,13,117000,11.7
서울 용산구,산천동,리버힐삼성,2001,효창원로,59.55,1,2026,1,12,139300,13.93
서울 용산구,원효로4가,강변삼성스위트,1999,원효로,59.94,2,2026,1,5,139300,13.93
서울 용산구,원효로1가,용산더프라임,2014,원효로90길,59.557,4,2026,1,2,140000,14.0
서울 용산구,산천동,한강타운,2001,새창로8길,59.69,1,2026,2,13,125000,12.5
서울 용산구,산천동,한강타운,2001,새창로8길,59.69,14,2026,2,7,129500,12.95
서울 용산구,한남동,시범,1970,독서당로34길,59.5,4,2026,3,20,125000,12.5
서울 용산구,도원동,삼성래미안,2001,새창로,59.94,3,2026,3,23,150000,15.0
서울 용산구,한남동,시범,1970,독서당로34길,59.5,5,2026,3,14,123700,12.37
서울 용산구,한남동,시범,1970,독서당로34길,59.5,1,2026,3,7,115500,11.55
서울 용산구,한남동,리버탑,2001,독서당로6길,59.57,8,2026,4,10,130000,13.0
